strategy,Qualitative
sampleProd,Secondary
timeAnalysis,Μη Ιστορική
spaceAnalysis,Μη Ιστορική
abstract,"Η Ανώνυμη Εταιρία επίκεντρο της σύγχρονης οικονομικής ζωής απασχολεί τον επιχειρηματικό, τον οικονομικό και τον κλάδο του Εμπορικού Δικαίου, καθώς η ανάπτυξη της επέρχεται παράλληλα με την οικονομική ανάπτυξη. Αντικείμενο αυτής της διπλωματικής εργασίας είναι οι αλλαγές που επιφέρει ο νέος Νόμος 4548/2018 στις συναλλαγές της Ανώνυμης Εταιρίας με συνδεδεμένα μέρη. Υπό αυτό το πρίσμα, παρουσιάζεται κατ΄ αρχάς το θεωρητικό πλαίσιο του Νόμου που αφορά τις συναλλαγές με συνδεδεμένα μέρη και εν συνεχεία γίνεται προσπάθεια ανάδειξης και αποτύπωσης του θέματος μέσα από σχετικές εκθέσεις μεγάλων ελεγκτικών εταιριών βάσει του άρθρου 101 του Ν. 4548/2018 που έχουν καταρτιστεί στο πλαίσιο των συναλλαγών εταιριών με συνδεδεμένα τους μέρη."
studyQuestions,N/A
workAssumptions,N/A
studyAssumptions,N/A
sampleTimeReference,2016-2020
sampleCollectionReference,2020
statesOfReference,ΕΛΛΑΔΑ
spatialCoverage,N/A
geographicalUnit,N/A
population,Ανώνυμες Εταιρίες
basicUnit,Εκθέσεις γνωμοδότησης
sampleSize,4
collectionMethod,Σκόπιμη επιλογή εκθέσεων μεγάλων ελεγκτικών εταιρειών
methodOfRecording,Επισκόπηση και χρήση πληροφοριών και στοιχείων από δημοσιευμένες εκθέσεις και οικονομικές καταστάσεις
methodOfAnalysis,Ποιοτική ανάλυση και συγκριτική παρουσίαση
recordingTools,"Εκθέσεις μεγάλων ελεγκτικών εταιριών (RSM, Grant Thornton, KPMG), Νόμος 4548/2018"
analysisTools,N/A
firstName,Άννα
surName,Ηλιοπούλου
gender,Γυναίκα
fathersName,N/A
title,ΟΙ ΣΥΝΑΛΛΑΓΕΣ ΜΕ ΤΑ ΣΥΝΔΕΔΕΜΕΝΑ ΜΕΡΗ ΥΠΟ ΤΟ ΠΡΙΣΜΑ ΤΟΥ ΝΕΟΥ ΝΟΜΟΥ 4548/2018
nameOfSupervisor,Στέφανος Χαρακτινιώτης
dateOfSupport,2020-11-13
numberOfPages,57
language,Ελληνικά
typeOfDissertation,MasterThesis
keyWords,"Ανώνυμη Εταιρία, Συναλλαγές με συνδεδεμένα μέρη, Νόμος 4548/2018, άρθρο 101, ελεγκτικές εταιρίες"
altTitle,MasterThesis_Iliopoulou
nameOfCom1,N/A
nameOfCom2,N/A
otherNotes,Α.Μ. 2132018008
institution,Πανεπιστήμιο Αιγαίου
department,Τμήμα Διοίκησης Επιχειρήσεων
program,ΠΡΟΓΡΑΜΜΑ ΜΕΤΑΠΤΥΧΙΑΚΩΝ ΣΠΟΥΔΩΝ ΣΤΗ ΔΙΟΙΗΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΜΒΑ)
libraryLink,http://hdl.handle.net/11610/22124
target,Αντικείμενο αυτής της διπλωματικής εργασίας είναι οι αλλαγές που επιφέρει ο νέος Νόμος 4548/2018 στις συναλλαγές της Ανώνυμης Εταιρίας με συνδεδεμένα μέρη.
sampleDescription,"Εκθέσεις μεγάλων ελεγκτικών εταιριών (RSM GREECE, Grant Thornton, KPMG) για συναλλαγές εταιρειών (ATTICA BANK, TRASTOR, Optima Bank, ΕΛΠΕ)."
